    PID TTY      STAT   TIME COMMAND
   1222 ?        Ss     0:01 /usr/bin/dbus-daemon --syslog --fork --print-pid 5 --print-address 7 --config-file /usr/share/fcitx/dbus/daemon.conf
   1223 ?        Ssl    0:00 /usr/libexec/at-spi-bus-launcher
   1231 ?        SN     0:00 /usr/bin/fcitx-dbus-watcher unix:abstract=/tmp/dbus-WQk81ROwXa,guid=b293df773d26bf4f5b8e2bea5f7ab792 1222
   1232 ?        S      0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
   1235 ?        Sl     0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   1248 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-color
   1250 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-screensaver-proxy
   1251 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-power
   1256 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-keyboard
   1257 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-media-keys
   1258 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-xsettings
   1259 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-a11y-settings
   1260 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-sound
   1264 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-housekeeping
   1273 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-mouse
   1274 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-background
   1279 ?        Ssl    0:00 /usr/libexec/gvfsd
   1294 ?        Sl     0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
   1295 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-cursor
   1300 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-wacom
   1307 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-automount
   1311 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-orientation
   1315 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-a11y-keyboard
   1318 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-print-notifications
   1319 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-xrandr
   1322 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-clipboard
   1344 ?        Sl     0:00 /usr/libexec/dconf-service
   1359 ?        Ssl    0:00 /usr/libexec/colord
   1365 ?        Ssl    0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   1366 ?        S      0:00 cinnamon-launcher
   1371 ?        Ssl    0:00 /usr/libexec/gvfs-afc-volume-monitor
   1382 ?        Ssl    0:00 /usr/libexec/gvfs-goa-volume-monitor
   1386 ?        Sl     0:00 /usr/libexec/goa-daemon
   1388 ?        Sl     1:36 cinnamon --replace
   1391 ?        Sl     0:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/csd-printer
   1402 ?        Sl     0:00 /usr/libexec/goa-identity-service
   1408 ?        Ssl    0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   1413 ?        Ssl    0:00 /usr/libexec/gvfs-mtp-volume-monitor
   1432 ?        Sl     0:00 /usr/libexec/xapps/sn-watcher/xapp-sn-watcher
   1454 ?        Sl     0:00 blueberry-obex-agent
   1455 ?        Sl     0:00 /usr/libexec/geoclue-2.0/demos/agent
